编号,专业名称,是什么,学什么,干什么
173,软件工程,软件工程主要研究计算机各类软件的构造、设计、开发方法、测试、维护等相关的知识和技术，涉及程序设计语言、数据库、软件开发工具、系统平台、设计模式等多方面，进行软件需求分析、软件设计、软件测试、软件维护等。常见的软件有：电子邮件、Office办公软件、设计软件PS、Windows操作系统、各类游戏等。 关键词：计算机 编程 Office 游戏,《C/C++程序设计》、《Java语言程序设计》、《软件工程》、《电路与模拟电子技术》、《Linux操作系统与网络编程》、《WEB技术与应用》、《数据结构与算法》、《数据库开发技术》、《算法分析》、《人工智能技术》 部分高校按以下专业方向培养：JAVA、大数据、云计算、软件设计、数字媒体、金融软件开发、嵌入式应用开发、软件开发与测试、移动互联网开发、移动设备应用开发。,IT 类企业：JAVA工程、NET 工程、系统开发、网站开发、软件需求分析、软件开发、软件测试、技术支持、运营维护、项目管理。
174,网络工程,网络工程主要研究计算机软硬件、网络与通信系统等方面的基本知识和技术，进行计算机网络系统的规划设计、维护管理和应用开发等。例如：企业网站的设计开发，游戏服务器的维护，网络故障（如：无法连接网络）的原因排查，木马等网络病毒的处理等。 关键词：计算机 互联网 服务器 木马病毒,《电磁场与电磁波技术》、《模拟电路基础》、《Internet应用技术》、《局域网技术与组网工程》、《Web与数据库应用》、《通信网络理论》、《网络安全与信息加密技术》、《网络工程与网络管理》、《网络监控与管理》、《网络协议栈分析与设计》 部分高校按以下专业方向培养：物联网、铁道信号、智慧城市、渗透与测试、网络安全与攻防、网络工程与管理、移动互联网开发、云计算与大数据、网络系统开发与管理、网络系统集成与网络安全。,IT类企业：网络工程、运维工程、网站开发、网络维护、软件开发、软件测试、服务器的维护管理、网络故障的分析和排查。
175,信息安全,信息安全主要研究信息系统、信息安全与保密、网络安全等方面的基本知识和技术，采取各种防护措施，对信息、网络、服务器等进行安全保护等。例如：电脑防火墙的搭建、入侵检测系统的设计、网络病毒的检测分析、杀毒软件的研发、企业内网的监测排查、软件漏洞的挖掘与修复等。 关键词：网络 360 杀毒软件 防火墙,《模拟电路基础》、《密码学导论》、《计算机系统与网络安全技术》、《网络协议工程》、《网络防御与对抗》、《Linux 实践及应用》、《Python程序设计与应用实战》、《PKI原理与技术》、《操作系统及安全》、《Internet安全协议与分析》 部分高校按以下专业方向培养：保密。,IT 类企业：信息安全工程、网络维护、防火墙维护、内网监测、安全评估分析、病毒分析、防毒系统设计、漏洞修复、数据还原； 政府、事业类单位：信息安全系统的设计、网络安全、信息安全防护。
176,物联网工程,物联网工程主要研究物联网的体系结构、信息处理、安全技术、系统及其应用等方面的基本知识和技能，涉及通信、传感、网络以及RFID、嵌入式系统等多个方面，其应用在生活中屡见不鲜。例如：网易云音乐的在线搜索、联网听歌，淘宝APP联网搜索各类商品，从个人电脑上传视频图片资料至百度云盘等。 关键词：互联网 在线 淘宝 云盘,《嵌入式原理及应用》、《无线传感器网络》、《汇编语言与微机原理》、《传感器微操作系统原理与设计》、《应用密码学》、《光电子物理基础》、《模拟电子技术》、《数字建模》、《微处理器系统设计》、《物联网信息处理技术》 部分高校按以下专业方向培养：电商物联网、移动嵌入式、智能机器人、物联网大数据采集与分析。,IT类企业：物联网工程、物联网系统设计架构、物联网应用系统开发、物理网系统管理、网络应用系统管理、物联网设备技术支持、云计算。
177,数字媒体技术,数字媒体技术主要研究文字、图片、音频、视频等数字媒体的设计和应用开发等，将抽象的数字、作为实物的媒体以及计算机技术三者结合，常见于游戏、动漫类行业。例如：动画场景设计、角色形象设计、游戏程序设计、VR技术研发等。与数字媒体艺术相比，数字媒体技术更偏向于编程开发，数字媒体艺术则偏向于美工设计。 关键词：图片 音频 视频 编程,《素描实习》、《游戏设计基础》、《计算机三维建模》、《网页制作与脚本编程》、《Flash编程技术》、《数字媒体后期制作》、《动画插件编程》、《动画渲染》、《计算机美术基础》、《计算机图形学原理》 部分高校按以下专业方向培养：游戏开发、移动媒体开发、游戏设计技术、动漫设计与制作、动漫与影视后期制作、数字影视动画技术与应用、虚拟现实及游戏开发技术。,动漫、游戏类企业：动漫制作、游戏开发、人物设计、场景设计、3D建模、软件开发、VR技术、人机交互技术、网页制作。
178,土木工程,土木工程主要研究各类土地工程设施的勘测、设计、建造、保养、维修等方面的基本知识和技术，进行各类工程建筑物的新建、改建或扩建，以及相关配套设施的勘察、规划、设计、施工等。主要工程设施包含房屋、道路、铁路、管道、隧道、桥梁、堤坝、矿井等。 关键词：土地 建筑 桥梁 施工,《建筑施工技术》、《土木工程材料》、《建筑工程造价》、《土木工程CAD》、《材料力学》、《工程制图》、《结构力学》、《混凝土结构》、《建筑结构抗震》、《土力学》 部分高校按以下专业方向培养：结构、安全工程、房屋建筑、建筑工程、交通土建、岩土工程、注册建造师、城市地下工程、道路与桥梁工程、注册造价工程师。,房地产类企业：建筑工程、结构工程、造价工程、工程测量、质量监管、工程管理、技术经理、项目经理； 政府、事业类单位：城市规划、道路施工、桥梁建设、工程检修。
179,建筑环境与能源应用工程,建筑环境与能源应用工程主要研究建筑物理环境、建筑节能、建筑设施智能技术等方面的基本知识和技能，针对空调、供热、通风、建筑给排水、燃气供应等公共设施系统进行设计、施工、调试、运行，并对建筑设备的运行进行节能控制，对室内环境的空气进行净化调节等。 关键词：空调 暖气 节能 净化,《建筑力学》、《工程热力学》、《传热学》、《流体力学》、《建筑环境学》、《建筑环境与能源学》、《热质交换理论与设备》、《流体输配管网》、《建筑环境测试技术》、《热泵技术》 部分高校按以下专业方向培养：建筑设备。,工程类企业：热能工程、空调工程、暖通工程、燃气工程、给排水工程、研发制造、工程技术、工程调试、运行管理、系统保障； 政府、事业类单位：城市供热、供燃气系统与设备的设计、工程规划； 家电类公司：技术开发、产品销售。
180,给排水科学与工程,给排水科学与工程研究的是水的社会循环问题，包含两个方面，一方面是“给水”，将从江河湖泊中抽取的自然水经过净化成为符合生活用水标准的自来水，并输送到千家万户；一方面是“排水”，将使用过的污水、废水集中处理，然后干干净净地被排放到江河湖泊中。例如：“南水北调”工程、原水净化、污水处理、污染物检测等。 关键词：自来水 污水 水资源保护 南水北调,《水分析化学》、《排水工程》、《给水工程》、《城市水工程概论》、《水分析化学实验》、《泵与泵站》、《给水排水管网系统》、《建筑给排水工程》、《水处理生物学》、《水文学与水文地质学》 部分高校按以下专业方向培养：城市水科学与市政工程。,工程类企业：给排水工程、水电工程、暖通工程、工程规划、施工管理、项目经理； 政府、事业类单位：城市给水工程、水污染控制规划、水资源保护、污染物监测和分析、污水处理。
181,建筑电气与智能化,建筑电气与智能化主要研究建筑物理环境和环境控制系统的基本知识，进行建筑设备系统的设计、调试和运行管理等方面的技能训练，实现室内环境设备和公共设施系统智能化。例如：楼道内光感声控的照明灯的设计，室内温度自动调节系统的研发，电力系统超负荷自动断电的设计等。 关键词：电气 智能 照明 技术,《电气控制与可编程》、《建筑制图与识图》、《电工基础》、《电子技术基础》、《应用电机技术》、《电气CAD》、《制冷与空调技术》、《楼宇给排水》、《楼宇综合自动化》、《建筑供电工程》,工程类企业：电气工程、电气施工、弱电工程、水电工程、机电工程、机电设计、安装工程、照明工程、工程设计、施工管理。
182,水利水电工程,水利水电工程主要研究水资源、水工结构、水力学及流体动力学、水利工程技术等方面的基本知识和技能，进行水利水电工程的勘测、规划、设计、施工、管理等。例如：南水北调工程的规划，水电站、大坝、闸门等水工建筑物的建造，河道治理工程的设计等。 关键词：水电站 大坝 南水北调 水能,《工程测量学》、《动力学》、《钢筋混凝土》、《结构动力学》、《水工建筑学》、《工程水文》、《水利工程经济学》、《水工建筑物设计》、《水电站建筑物》、《结构设计与应用》,工程类企业：施工、水利工程、水电工程、工程技术、工程设计、工程勘测、施工管理； 政府、事业类单位：工程监理、水利规划、水电开发。
183,水文与水资源工程,水文与水资源工程主要研究水文、水资源及水环境等方面的基本知识和技能，涉及地下水资源的评价、水资源开发利用、水资源保护与管理、水资源问题防治等方面，进行水利工程前期和修筑完成之后的工作。例如：水流量、水位、降雨量等信息的采集和处理，地下水环境的评价，水库的日常监测，水污染的治理，洪水等水灾害的防治等。 关键词：水资源 水位 洪水 水污染,《工程测量学》、《水力学实验》、《水利工程测量》、《画法几何及水工制图》、《地质与地貌学》、《地下水文学》、《水资源工程勘察》、《气候学》、《水利法规》、《河流动力学》,政府、事业类单位：水文信息采集、水文分析、水资源规划、水资源评价、水文预报、水资源管理、水资源开发、水库监测。
184,港口航道与海岸工程,港口航道与海岸工程主要研究港口工程、航道工程和海岸工程方面的基本知识和技能，在交通、水利、海岸开发等领域进行工程规划、设计、施工和管理等。例如：轮船航道的规划，沿海城市港口、码头的建设，潮汐发电等海洋资源的开发，运货、载人等海上运输业的发展等。 关键词：港口 码头 轮船 沿海城市,《港口物流》、《港口水工建筑物》、《港口规划与平面布置》、《工程建设监理》、《港口工程概论》、《海岸动力学》、《河流动力学与航道工程》、《水电可持续发展》、《水运工程施工技术》、《水运工程施工组织与概预算》,工程类企业：施工、建筑工程、港口工程、工程造价、工程管理、项目总工； 政府、事业类单位：港口规划、航道设计、海岸开发。
185,测绘工程,测绘工程主要研究测绘学、空间精密定位与导航、城市与工程建设及其测量工程等方面的基本知识和技能，进行空间、大地地貌、地质构造等各种信息的测量并绘制成地形图，常于野外作业。例如：煤、石油等矿产资源的勘查，交通地图的绘制，工程效果图的绘制等。 关键词：测量 地质 地图 野外,《工程测量学》、《摄影测量学》、《GPS测量实习》、《控制测量实习》、《地理信息系统原理》、《GIS原理与应用》、《Auto CAD的应用》、《GPS测量原理与应用》、《精密工程测量》、《大地测量学基础》 部分高校按以下专业方向培养：无人机遥感。,工程类企业：地质勘查、工程测绘、工程测量、竣工测量、监理工程； 仪器类企业：仪器设计、仪器制图； 政府、事业类单位：国家基础测绘建设、陆海空运载工具导航与管理、国土资源调查与管理、地图与地理信息系统的设计。
186,遥感科学与技术,遥感科学与技术主要研究遥感技术、电子技术和计算机科学与技术等方面的基本知识和基本技能，进行遥感电子设备与系统的研制、应用系统和系统集成的建设与开发、空间信息系统和管理信息系统的建设和应用等。例如：GPS导航系统的研发，电子地图的绘制，生态环境遥感监测等。 关键词：遥感 3S 测绘 计算机,《地理信息系统原理》、《传感器技术与应用》、《航空与航天摄影》、《摄影测量基础》、《近景摄影测量》、《大地测量学基础》、《地图学基础》、《数字图像处理》、《遥感图像处理与解译》、《遥感物理基础》,测绘类企业：摄影测量、工程测绘、地图绘制、图像处理； IT类企业：3S技术、遥感系统研发、空间信息系统建设。
187,化学工程与工艺,化学工程与工艺主要研究化学工程与化学工艺相关的基本知识和技能，涉及化学反应、化工单元操作、化工过程与设备、工艺过程系统模拟优化等多个方面，进行化工合成、化学工艺优化、化学检验等。例如：洗发水、洗涤剂等生活用品的调配和合成，化妆品配方的研发，医学用药的研制，血液成分的化学检验等。 关键词：化学 合成纤维 化妆品 涂料,《高分子化学》、《化学反应工程》、《环境保护与绿色技术》、《化工工艺》、《有机化学》、《分析化学》、《无机化学》、《高分子物理学》、《化工传递过程》、《化工技术经济》 部分高校按以下专业方向培养：煤化工、化工工艺、化工贸易、精细化工、石油化工、化学能源工程、药物制备工程、过程装备与控制、过程装备及控制工程、能源变换材料及工程。,化工类企业：化学工程、化学工艺、工程设计、技术开发、生产管理、质量检验； 医药类企业：生化分析、医药合成、化学检验、化学调配、医药代表。
188,制药工程,制药工程主要研究化学、生物学、药学和工程学等方面的基本知识和技能，涉及医药、农药、精细化工、生物化工等，进行药品的研发制造、新工艺的开发、药物质检等。例如：中药含片、中药冲剂的生产，新型药品的研发，药物成分的化学检验等。 关键词：医药 化学 研发 中药,《药物合成》、《制药工程》、《药物分析实验》、《药理学实验》、《生物技术制药》、《酶工程与蛋白质工程》、《生物分离工程》、《药用植物学与生药学》、《工业药剂学》、《组织工程与再生医学》 部分高校按以下专业方向培养：民族制药、生物制药、食品与药品安全、中药及天然药物。,医药类企业：药物研发、药品生产、药物检验、医药分析、药品管理、药剂师、药物营销。
189,地质工程,地质工程主要研究地质环境的概况、评价、改造和保护等相关知识和技能，范围涵盖地面、地下、陆地、海洋等，在工程规划、灾害预测中有着重要的作用。例如：施工地的地质结构与地质背景调查，金矿、铅矿等矿产资源的普查与勘探，地震等地质灾害的预测及评价等。 关键词：地形 矿产 地震 勘查,《工程地质学》、《地下工程》、《水文地质学》、《环境地质学》、《测井资料地质解释》、《地基处理与基础设计》、《工程岩土学》、《地下地质制图》、《地震勘探原理》、《层序地层学》,工程类企业：地质勘查、工程勘探、测量技术、环境评价、能源开采、土建工程、施工管理； 政府、事业类单位：地质检测、地质灾害预测与评价。
190,勘查技术与工程,勘查技术与工程主要研究基础地质学、地球物理学、工程地质学、地质工程等方面的基本知识和技能，进行地质勘查和地质工程问题的解决处理等。例如：水井的设计和钻探，油田的勘察和开发，施工地的地质调查，地震、滑坡等地质灾害的监测等。 关键词：油田 水井 岩石 土壤,《工程地质学》、《测井资料地质解释》、《地震勘探原理》、《测井资料综合解释与数字处理》、《地层倾角测井》、《测井仪器》、《工程岩土学》、《综合录井与气测》、《数字信号处理基础》、《沉积岩与沉积相》 部分高校按以下专业方向培养：物探、钻探工程、勘查地球物理。,工程类企业：资源勘探、岩土工程、钻井工程、油田开发、桩基工程、基坑工程、工程勘查、水工设施建设。
191,资源勘查工程,资源勘查工程主要研究地质学、矿产勘查学及矿产经济学等方面的基本知识和技能，涉及从勘查选区、勘查评价到矿产开发全过程的地质、技术、经济及环境等方面内容，常于野外作业。例如：煤矿等矿产资源的勘查，油田的勘查与开采，矿产资源评价，地震等地质灾害的防治等。 关键词：资源 石油 煤矿 野外,《工程地质学》、《采油工程》、《测井地质学》、《地球物理测井》、《沉积岩石学及岩相古地理》、《层序地层学》、《油气盆地地质学》、《储层地质学》、《地层及古生物学》、《地球物理勘探》 部分高校按以下专业方向培养：油气、固体矿产、煤及煤层气工程、石油与天然气地质、工程地质勘查与地质灾害防治。,政府、事业类单位：资源勘查、石油开采、资源评价、资源管理。
192,采矿工程,采矿工程主要研究固体（煤、金属及非金属）矿床开采的基本理论和方法，包括矿区规划、矿山开采设计、岩层控制技术、矿山安全技术及工程设计等，多从事于采矿领域。例如：石油和天然气的开发规划，矿井的设计开采，塌方等矿井灾害的预防、矿井内的通风与安全技术等。 关键词：采矿 矿井 石油 塌方,《矿山岩体力学》、《煤矿地质》、《地貌学与第四季地质学》、《光电子技术及应用》、《井巷工程》、《采矿学》、《岩石力学》、《矿山压力及其岩层控制》、《矿井通风与安全》、《液压传动与采掘机械》 部分高校按以下专业方向培养：煤与煤层气。,矿业类企业：矿区开发、矿井开采、石油和天然气的开采、巷道开拓、矿山测量、矿井设计、矿山灾害预防、工程技术、监察管理。
193,石油工程,石油工程主要研究地下油气从油气藏中开采到地面的过程中涉及的知识和技术，包含油藏、钻井、采油和石油地面工程等，进行油气田钻井、开采石油及油气开发工程的设计、施工、管理等。例如：大庆油田的开采，中缅油气管道的设计，油田储量的预测，油层厚度、分布状况等储集层参数的评价。 关键词：石油 大庆油田 钻井 油气管道,《采油工程》、《提高采收率原理》、《石油工程岩石力学》、《油气井流体力学》、《现代试井解释原理》、《VB语言》、《油气层渗流力学》、《采气工程》、《保护储层技术》、《测井解释与生产测井》,石油类企业：油气钻井工程、采油工程、油藏石油工程、储层评价、油气管道设计、油气设备设计、工程设计、技术开发、施工管理。
194,矿物加工工程,矿物加工工程主要研究矿物（金属、非金属、煤炭）的分选加工和矿产资源的综合利用等方面的基本知识和技能，分离有用矿物和脉石（无用）矿物，实现冶炼效率的提高。例如：将铁、铜、铅等矿石中的石英等无用矿物筛选出来，将矿石中的有害元素除掉，将火山岩石加工成耐火材料等。 关键词：矿物 金属 选矿 加工,《矿石可选性研究》、《非金属矿物深加工》、《烧结矿与球团矿生产》、《矿床学》、《矿相学》、《工程流体力学》、《选矿学》、《矿物学》、《选矿机械与设备》、《矿物加工厂工艺设计》,矿业类企业：矿物分选、矿物加工、矿产资源综合利用、工艺设计、技术开发、设备改造、设备维护、生产管理。
195,油气储运工程,油气储运工程主要研究油气和城市燃气的储存、运输及管理等方面的基本知识和技能，包括油气田集输、长距离管道输送、储存与装卸及城市输配等。例如：“西气东输”工程，加油站汽油的储存与管理，家用天然气的供配，输油、输气管道的设计等。 关键词：石油 燃气 管道 西气东输,《储运工程施工》、《储运设备》、《储运油料学》、《催化原理》、《泵与压缩机》、《流变学基础》、《管罐结构设计》、《机泵拆装》、《油气储运工程》、《LNG技术》,石油类企业：油气储存、油气运输、燃气输配、油库设计、设备保养； 管道类企业：管道设计、管道管理、管道工程。
196,纺织工程,纺织工程主要研究纺织品的设计、加工工艺、质量检测、贸易等方面的基本知识和技能，包括纺织贸易和纺织服装两个方向，进行纺织品设计开发、纺织工艺设计、纺织生产质量控制等。常见的纺织品有刺绣、丝绸、服饰和地毯四大类，常用的纺织工艺包括清花、梳绵、并条、粗纱、细纱等。 关键词：纺织 刺绣 服饰 贸易,《毛纺织厂设计》、《纺织设备电路与工艺分析》、《纺材实验》、《纺织材料学》、《纺织电测》、《纺织化学》、《毛纺学》、《毛染整》、《毛织学》、《纹织学》 部分高校按以下专业方向培养：材料科学与工程、纺织技术与管理、纺织科学与技术。,纺织类企业：纺织品设计、纺织品生产、纺织工艺设计、纺织生产质量控制、生产技术改造、贸易专员、纺织跟单。
197,服装设计与工程,服装设计与工程主要研究服装设计、服装结构工艺及服装经营管理等方面的基本知识和技能，进行服装开发、设计、生产管理和营销等。例如：品牌服装的成衣设计，服装厂家的服装生产管理，服装布料的选择和鉴别，成品服装的宣传营销等。 关键词：服装 设计 生产 贸易,《人体速写》、《时尚品牌设计管理》、《时装摄影》、《外国服装史》、《中国服装史》、《中外服饰图案赏析》、《构成基础》、《服装工艺设计》、《服装画技法》、《针织服装设计与工艺》 部分高校按以下专业方向培养：服装设计与表演。,服装类企业：服装设计、成衣生产、工艺管理、质量检验、品牌策划、商品企划、服装销售、零售管理、国际贸易。
198,轻化工程,轻化工程主要研究各类轻化工产品的生产、加工、检测等方面的基本知识和技能，涉及制浆造纸、精细化工、纺织染整、皮革工程等多个领域，通过化学、物理和机械的方法加工纺织品、皮革、纸张等。例如：布料染色，皮革设计与加工，纸张制造与漂白，香烟的生产等。 关键词：化学 纺织 皮革 纸张,《纸厂质量管理》、《制浆造纸机械与设备》、《制浆漂白新技术》、《轻化工程环境保护》、《造纸原理与工程》、《植物纤维化学》、《二次纤维回用技术》、《加工纸与特种纸》、《轻化工程》、《轻化工工厂设计》 部分高校按以下专业方向培养：革制品设计、制浆造纸工程、皮革化学与工程。,纺织、皮革、造纸类企业：技术开发、生产管理、性能测试、质量管理、产品经营； 化工类企业：化学分析、化学合成、化学检验、化工工程； 快消类企业：产品研发、生产技术。
199,包装工程,包装工程主要研究包装学、物理学、化学、材料学、美学、色彩等方面的基本知识和技能，涉及包装的设计、印刷、测试、管理、研发等方面，针对包装的不同功能需求（保护产品，方便储运，促进销售）进行内包装、外包装、结构包装、缓冲包装、运输包装的设计，同时兼具包装的质量检测和包装制品的印刷等。 关键词：包装 设计 工艺 美术,《包装结构设计》、《工程制图与计算机绘图基础》、《包装装潢与造型设计基础》、《包装技术》、《印刷技术》、《包装测试技术》、《包装应用化学》、《包装应用力学》、《运输包装》、《包装材料学》,包装类企业：包装设计、包装制品加工、包装材料研发、包装机械设计、质量检测、技术管理； 印刷类企业：包装印刷、排版输出、书籍装帧。
200,印刷工程,印刷工程主要研究图文信息处理、印刷复制工程等方面的基本知识和技能，包括宣传单、易拉宝、宣传册等印刷制品的印前、印刷、印后的各种加工技术，进行印刷的生产实施和工艺设计等。例如：印前的图文编排、印刷制版，印刷设备的操作，印刷过程的质量监控，印后的装帧、塑封等。 关键词：印刷 排版 装帧 画册,《色彩学》、《色彩管理原理与应用》、《印前处理原理与技术》、《印刷原理与工艺》、《信息记录材料与技术》、《显示材料与技术》、《印刷材料与适性》、《页面描述语言》、《印刷设备》、《计算机集成印刷系统》,出版类企业：文字编辑、校对编辑、图文排版、版面设计、质量监控、印刷管理； 印刷类企业：印刷技术、印刷制版、印后加工、书籍装帧。
201,交通运输,交通运输主要研究运筹学、管理学、交通运输组织学等方面的基本知识和技能，包括铁路、公路、水路及航空运输基础设施的布局及修建、载运工具运用工程、交通信息工程及控制、交通运输经营和管理等。例如：汽车控制系统的开发，飞机航行路线的规划，地铁的乘务管理，公交车站等交通设施的设计建造等。 关键词：公交 地铁 飞机 站台,《航空运输地理》、《空气动力学》、《飞机电子系统》、《航空运输规划学》、《智能交通运输系统》、《机械原理与机械设计基础》、《交通运输规划与设计》、《交通运输经济学》、《交通运输企业管理》、《交通运输设备》 部分高校按以下专业方向培养：航空物流、空中乘务、民航交通、汽车维修、城市轨道交通、民航电子电气、民航机务工程、汽车运用工程、民航运输业务管理、汽车电子技术与检测诊断。,交通类事业单位：交通运输组织、交通运输指挥、交通运输规划； 交通工程类企业：交通工程设计、交通控制系统开发、交通运输设备制造、生产管理。
202,交通工程,交通工程主要研究系统工程学、交通工程学、土木工程学等方面的基本知识和技能，进行交通工程规划、交通工程设计、交通土建施工工程建设管理等。例如：道路和地铁的施工规划，公交车站、停车场等交通设施的建设，高速公路的修理养护等。 关键词：公路 地铁 车站 停车场,《城市轨道交通车辆》、《道路建筑材料》、《模拟电路与数字电路》、《交通调查与分析》、《城市轨道交通通信原理》、《道路工程》、《交通运输自动控制原理》、《道路交通管理与控制》、《交通信息系统》、《轨道交通运营与管理》,交通类事业单位：交通规划、交通勘测、交通设施设计、交通设施建造、交通道路施工、交通设施管理、交通系统建设。
203,航海技术,航海技术主要研究海洋船舶驾驶、船舶运输管理等方面的基本知识和技能，接受船舶操纵、船舶避碰、航图运用、仪表识别、GMDSS通信、消防和急救等方面的基本训练，进行一系列海上作业。例如：海上船舶货物运输，出海航线规划设计，海洋科学考察、海上搜救，海上国防等。 关键词：船舶 出海 海运 国防,《航海学》、《船舶操纵与避碰》、《船舶管理》、《航海气象与海洋学》、《船舶结构与货运》、《航海仪器》、《船舶无线电技术基础》、《船舶原理》、《船舶自动化基础》、《海商法》,海洋运输类企业：海洋船舶驾驶、船舶设备管理、营运管理、船舶保养、水手； 政府、事业单位：航线设计、海洋考察、海上搜救、海上国防。
204,轮机工程,轮机工程主要研究机械原理、轮机系统等方面的基本知识和技能，在海洋运输各企事业单位进行轮机操纵、维修、船舶监造等，常于海上作业。例如：船舶机器设备的维修与保养，造船厂轮机设备的生产制造，海上航行时的管轮等。 关键词：海运 船舶 轮机 维修,《船舶辅机》、《船舶电力系统与装置》、《船舶动力装置原理与设计》、《计算力学及工程应用》、《轮机自动化基础》、《修造船生产经营管理》、《主机拆装》、《船舶电气设备及系统》、《船机制造工艺》、《现代轮机监控技术》 部分高校按以下专业方向培养：陆上、船机修造、轮机管理。,海洋运输类企业：轮机操纵、轮机检测、轮机维修、轮机保养、船舶监造、船舶机电设备管理、管轮。
205,飞行技术,飞行技术主要研究空气动力学、飞行力学、飞行性能与操纵原理、现代运输飞机构造等方面的基本知识和技能，为民航和军队进行飞行员的培养，从事飞行驾驶等工作。 关键词：飞机 飞行员 民航 军队,《飞行原理》、《飞机构造》、《航空动力装置》、《民航飞机电子设备》、《空气动力学》、《飞行力学》、《空中领航学》、《飞行气象学》、《飞行安全》、《机组资源管理》 部分高校按以下专业方向培养：驾驶、运输机驾驶。,民航类企业：飞行驾驶、营运管理； 军事类单位：飞行驾驶、空中战斗。
206,船舶与海洋工程,船舶与海洋工程主要研究船舶的构造、航行原理、安全性设计和国内外重要船级社的规范等基本知识和技能，进行船舶与海洋结构物的设计、研究、制造、检验、使用和管理等。例如：船舶动力装置的设计，船舶抗风浪性能的检验，船舶轮机系统的保养和维修，船舶的使用驾驶等。 关键词：船舶 出海 建造 质检,《船舶静力学》、《船舶操纵性与耐波性》、《船舶动力系统》、《船舶建造理论与工艺》、《船舶结构力学》、《船舶结构强度》、《船舶结构设计》、《船舶静水力计算》、《船舶流体力学》、《船舶设备与系统》 部分高校按以下专业方向培养：游艇。,海洋运输类企业：船舶设计、生产制造、质量检验、船舶管理、船舶驾驶。
207,航空航天工程,航空航天工程主要研究航空电子系统、飞行器的设计、制造等方面的基本知识和技能，涉及数学、物理、计算机、材料学等多个领域，进行飞行器总体、结构与系统的分析设计等。例如：火箭、载人飞船等飞行器的设计制造，飞机各种电子设备的研发生产等。 关键词：火箭 飞机 神舟飞船 导弹,《空气动力学》、《传热与燃烧》、《发动机设计》、《飞行控制》、《飞行力学》、《飞行器结构力学》、《飞行器设计》、《飞行器综合电子系统》、《航空安全与人为因素》、《航空航天制造技术》,航空航天类企业：工程设计、产品研发、技术开发、生产制造、性能测试、维修养护、航空航天管理。
208,飞行器设计与工程,飞行器设计与工程主要研究航空航天飞行器设计相关的基本知识和技能， 包括飞行器总体、结构、外形的设计等，涉及数学、力学、机械学等相关领域，进行飞行器设计、飞行器性能计算与分析、结构受力与分析、飞行器故障诊断及维修等。常见的飞行器有：人造地球卫星、空间探测器、载人飞船、火箭等。 关键词：飞行器 设计 卫星 宇宙飞船,《空气动力学》、《CAD/CAE软件应用》、《电工及工业电子学》、《飞机CAD技术》、《飞机部件空气动力学》、《飞机结构力学》、《飞机结构设计》、《飞机维护原理》、《飞机装配工艺》、《飞行力学》,航空航天类企业：飞行器设计、生产制造、飞行器装配、性能测试、运行维护、飞行器维修、生产管理。
209,飞行器制造工程,飞行器制造工程主要研究飞行器制造、制造工程、电工与电子技术等方面的基本知识和技能，进行飞行器制造领域内的设计、制造、研究、开发与管理等。例如：飞行器制造、零件加工与装配、故障诊断等。常见的飞行器有：人造卫星、载人飞船、飞机、飞艇等。 关键词：飞行器 制造 维修 飞机,《冲压工艺与钣金》、《飞机装配工艺》、《飞行器结构力学》、《飞行器结构设计》、《航空材料》、《航空质量系统》、《计算机辅助飞机制造》、《数字控制原理与应用》、《塑性成形原理》、《微小飞行器设计》 部分高校按以下专业方向培养：航空机械、钣金与模具。,航空航天类企业：飞行器制造、飞机装配、技术开发、生产管理、故障诊断、维修养护； 机械类企业：机械设计、生产制造。
210,飞行器动力工程,飞行器动力工程主要研究飞行器的动力装置及控制系统的工作原理、结构、设计方法等方面的基本知识和技能，涉及数学、力学、机械学及电子学等领域，从而进行飞行器动力装置及控制系统的设计、研究、测试、运行维护等。例如：火箭发动机的维修养护，飞机控制系统的测试，载人飞船动力装置的研发制造等。 关键词：飞行器 火箭 发动机 机械,《单片机及接口技术》、《空气动力学》、《电气工程》、《火箭发动机原理》、《多维气体动力学》、《发动机构造》、《发动机机型》、《发动机结构特点及核心技术》、《发动机控制系统》、《发动机控制原理》 部分高校按以下专业方向培养：飞机发动机维修及其管理。,航空航天类企业：飞行器动力装置的设计、研究、生产、实验、运行维护； 机械类企业：热动力机械的设计、生产、运维。
211,飞行器环境与生命保障工程,飞行器环境与生命保障工程主要研究航空航天环境的模拟与控制、生命保障系统的设计等方面的基本知识和技能，涉及机械学、传热学、控制理论、空间环境工程等方面，在航空航天领域进行环境控制与生命保障系统的设计等。例如：飞机防冰系统的研发，飞行器内温度气压的控制，制冷系统及设备的设计等。 关键词：飞行器 环境 温度 气压,《空气调节》、《泵与风机》、《飞机防冰系统》、《飞机座舱参数控制》、《飞行器环境控制》、《热工测量与仪表》、《现代制冷空调技术》、《制冷附件》、《制冷原理与设备》、《制冷装置自动化》,航空航天类企业：飞行器环境控制、制冷系统的研发、航天环境模拟； 工程类企业：热能工程、空调工程、暖通工程。
